ID	Condition	Trial	TrialPosition	LookingTime	SaccLatency	pred	notpred
23	Soc	9	17	3525	1241.666667	0	1
23	Soc	10	19	683.3333333	1216.666667	0	1
23	Soc	11	22	NA	NA	NA	NA
23	Soc	12	23	2800	1200	1	0
23	Con	1	1	3408.333333	1266.666667	0	1
23	Con	2	3	3308.333333	1433.333333	0	1
23	Con	3	6	3500	1250	0	1
23	Con	4	7	3533.333333	1208.333333	0	1
23	Con	5	10	3500	1216.666667	0	1
23	Con	6	11	3416.666667	1283.333333	0	1
23	Con	7	13	3466.666667	1225	0	1
23	Con	8	15	3483.333333	1208.333333	0	1
23	Con	9	18	3391.666667	1241.666667	0	1
23	Con	10	20	3350	1416.666667	0	1
23	Con	11	21	3150	1225	0	1
23	Con	12	24	3058.333333	1216.666667	0	1
24	Soc	1	1	2908.333333	1550	0	1
24	Soc	2	3	1375	1400	0	1
24	Soc	3	6	1708.333333	1575	0	1
24	Soc	4	8	1566.666667	1241.666667	0	1
24	Soc	5	10	3050	1366.666667	0	1
24	Soc	6	11	2741.666667	1300	0	1
24	Soc	7	13	2375	1316.666667	0	1
24	Soc	8	16	566.6666667	1475	0	1
24	Soc	9	17	1041.666667	1308.333333	0	1
24	Soc	10	19	91.66666667	NA	NA	NA
24	Soc	11	22	933.3333333	1450	0	1
24	Soc	12	23	825	1341.666667	0	1
24	Con	1	2	2458.333333	1208.333333	0	1
24	Con	2	4	2408.333333	1233.333333	0	1
24	Con	3	5	1791.666667	1191.666667	1	0
24	Con	4	7	2633.333333	1216.666667	0	1
24	Con	5	9	2150	1316.666667	0	1
24	Con	6	12	2525	1241.666667	0	1
24	Con	7	14	2091.666667	1458.333333	0	1
24	Con	8	15	1475	1333.333333	0	1
24	Con	9	18	433.3333333	NA	NA	NA
24	Con	10	20	2100	1175	1	0
24	Con	11	21	900	1391.666667	0	1
24	Con	12	24	666.6666667	1375	0	1
26	Soc	1	1	3333.333333	1208.333333	0	1
26	Soc	2	3	3225	833.3333333	1	0
26	Soc	3	6	3816.666667	825	1	0
26	Soc	4	7	3425	1016.666667	1	0
26	Soc	5	9	3933.333333	783.3333333	1	0
26	Soc	6	11	3975	8.333333333	NA	NA
